date type session sonde_id sonde_position time_launch time_depart time_end duration altitude pressure sonde_depart sonde_OK errors
2019-02-20 auto 11:00 710211761 9 NA NA NA NA NA NA 0 0 NA
2019-02-20 trig NA 710211761 9 NA NA NA NA NA NA 0 0 25
2019-02-20 trig NA 710211761 9 11:32:29 11:33:16 12:31:03 3467.0 12852 1670 1 1 NA
2019-02-20 auto 23:00 107211666 10 23:00:00 NA NA NA NA NA 0 0 25
2019-02-21 auto 11:00 612213481 11 11:00:00 11:00:53 12:21:01 4808.0 22901 333 1 1 NA
2019-02-21 auto 23:00 707211771 2 23:00:00 23:00:42 23:40:15 2373.0 11314 2208 1 1 NA
2019-02-22 auto 11:00 804213007 4 11:00:00 11:00:47 11:48:26 2859.0 12198 1905 1 1 NA
2019-02-22 auto 23:00 804213112 3 23:00:00 23:00:43 01:00:22 7179.0 32106 82 1 1 NA
2019-02-23 auto 11:00 107211666 5 11:00:00 11:00:43 12:19:48 4745.0 24006 284 1 1 NA
2019-02-23 auto 23:00 710211298 6 NA NA NA NA NA NA 0 0 2
2019-02-23 auto 23:00 205212114 7 NA NA NA NA NA NA 0 0 6
2019-02-23 auto 23:00 810211142 8 23:02:17 23:03:01 00:06:53 3832.0 19651 571 1 1 NA
2019-02-24 auto 11:00 804212439 9 11:00:00 11:00:39 12:42:03 6084.0 29520 121 1 1 NA
2019-02-24 auto 23:00 710211862 10 23:00:00 23:00:41 23:55:25 3284.0 13312 1611 1 1 NA
2019-02-25 auto 11:00 808210537 11 11:00:00 11:00:43 12:35:01 5658.0 28522 138 1 1 NA
2019-02-25 auto 23:00 710211298 7 NA NA NA NA NA NA 0 0 2
2019-02-25 auto 23:00 707211278 6 23:00:00 23:00:37 00:39:59 5962.0 28460 138 1 1 NA
2019-02-26 auto 11:00 205212114 8 NA NA NA NA NA NA 0 0 6
2019-02-26 auto 11:00 809213630 9 11:00:00 11:00:43 12:42:06 6083.0 30431 102 1 1 NA
2019-02-26 auto 23:00 808210533 2 23:00:00 23:00:53 00:42:17 6084.0 28521 135 1 1 NA
2019-02-27 auto 11:00 804213096 3 11:00:00 11:00:43 12:47:12 6389.0 30202 104 1 1 NA
2019-02-27 auto 23:00 707210337 4 23:00:00 23:00:38 00:53:11 6753.0 31064 90 1 1 NA
2019-02-28 auto 11:00 710210786 5 11:00:00 11:00:38 12:46:05 6327.0 30385 102 1 1 NA
2019-02-28 auto 23:00 809213627 10 23:00:00 23:00:42 00:39:03 5901.0 28490 137 1 1 NA
2019-03-01 auto 11:00 112211226 11 11:00:00 11:00:44 12:57:21 6997.0 30154 107 1 1 NA
2019-03-01 auto 23:00 205211900 12 23:00:00 23:00:40 00:53:14 6754.0 29171 124 1 1 NA
2019-03-02 auto 11:00 710211298 1 NA NA NA NA NA NA 0 0 2
2019-03-02 auto 11:00 205212114 2 NA NA NA NA NA NA 0 0 6
2019-03-02 auto 11:00 810210156 3 11:00:17 11:01:38 12:42:00 6022.0 29784 113 1 1 NA
2019-03-02 auto 23:00 810210157 4 23:00:00 23:00:50 NA NA NA NA 1 0 NA
2019-03-03 auto 11:00 810210154 5 11:00:00 11:00:42 12:51:15 6633.0 30648 100 1 1 NA
2019-03-03 auto 23:00 810210113 6 23:00:00 23:00:43 00:49:12 6509.0 28406 141 1 1 NA
2019-03-04 auto 11:00 810210131 7 11:00:00 11:00:43 12:54:22 6819.0 29154 126 1 1 NA
2019-03-04 auto 23:00 810210118 8 23:00:00 23:00:46 00:23:55 4989.0 24122 274 1 1 NA
2019-03-05 auto 11:00 810210141 9 11:00:00 11:00:44 12:49:13 6509.0 30840 98 1 1 NA
2019-03-05 auto 23:00 810210128 10 23:00:00 23:00:43 00:41:06 6023.0 28438 140 1 1 NA
2019-03-06 auto 11:00 810210116 11 11:00:00 11:00:50 13:08:36 7666.0 31608 88 1 1 NA
2019-03-06 auto 23:00 710211298 1 23:00:01 23:00:58 23:54:42 3224.0 15291 1133 1 1 NA
2019-03-07 auto 11:00 205212114 2 NA NA NA NA NA NA 0 0 6
2019-03-07 auto 11:00 810210140 3 11:00:00 11:00:48 12:54:23 6815.0 29521 120 1 1 NA
2019-03-07 auto 23:00 810210152 4 23:00:00 23:00:53 00:49:23 6510.0 29980 113 1 1 NA
2019-03-08 auto 11:00 810210139 5 11:00:00 11:00:42 12:52:14 6692.0 29943 115 1 1 NA
2019-03-08 auto 23:00 810210114 6 23:00:00 23:00:46 NA NA NA NA 1 0 NA
2019-03-08 auto 23:00 810210155 7 23:41:44 23:42:29 01:35:01 6752.0 30280 109 1 1 NA
2019-03-09 auto 11:00 804212785 12 11:00:00 11:00:59 12:40:21 5962.0 29383 127 1 1 NA
2019-03-09 auto 23:00 205212114 1 NA NA NA NA NA NA 0 0 6
2019-03-09 auto 23:00 810210065 2 23:00:00 23:00:42 00:46:09 6327.0 30025 115 1 1 NA
2019-03-10 auto 11:00 810210066 9 11:00:00 11:00:43 12:38:02 5839.0 30384 109 1 1 NA
2019-03-10 auto 23:00 810210063 8 23:00:00 23:00:43 00:47:11 6388.0 30717 104 1 1 NA
2019-03-11 auto 11:00 810210057 10 11:00:00 11:00:45 12:53:17 6752.0 31417 95 1 1 NA
2019-03-11 auto 23:00 810210064 11 23:00:00 23:00:44 00:59:21 7117.0 30459 109 1 1 NA
2019-03-12 auto 11:00 810210062 3 11:00:00 11:00:39 12:55:14 6875.0 30211 114 1 1 NA
2019-03-12 auto 23:00 810210034 4 23:00:00 23:00:43 00:45:09 6266.0 29709 122 1 1 NA
2019-03-13 auto 11:00 810210120 5 11:00:00 11:00:54 12:42:17 6083.0 29513 127 1 1 NA
2019-03-13 auto 23:00 810210069 1 23:00:00 23:00:44 00:50:15 6571.0 27577 166 1 1 NA
2019-03-14 auto 11:00 205212114 2 NA NA NA NA NA NA 0 0 6
2019-03-14 auto 11:00 810210058 12 11:00:00 11:00:42 12:50:12 6570.0 30692 104 1 1 NA
2019-03-14 auto 23:00 810210074 6 23:00:00 23:01:21 00:46:48 6327.0 30054 114 1 1 NA
2019-03-15 auto 11:00 804212879 7 11:00:00 11:00:48 12:36:07 5719.0 29643 121 1 1 NA
2019-03-15 auto 23:00 804212877 8 23:00:00 23:00:43 00:35:00 5657.0 28664 139 1 1 NA
2019-03-16 auto 11:00 810210017 9 11:00:00 11:00:47 12:44:12 6205.0 29789 117 1 1 NA
2019-03-16 auto 23:00 810210060 10 23:00:00 23:00:41 00:56:16 6935.0 30848 100 1 1 NA
2019-03-17 auto 11:00 804212790 7 11:00:00 11:00:50 NA NA NA NA 1 0 NA
2019-03-17 auto 11:00 810210031 6 11:12:29 11:13:10 12:55:35 6145.0 29908 116 1 1 NA
2019-03-17 auto 23:00 810210035 3 23:00:00 23:00:43 00:26:56 5173.0 24089 281 1 1 NA
2019-03-18 auto 11:00 810210059 4 11:00:00 11:00:53 12:36:12 5719.0 27083 177 1 1 NA
2019-03-18 auto 23:00 810210030 5 23:00:00 23:00:44 00:49:13 6509.0 29525 122 1 1 NA
2019-03-19 auto 11:00 810210036 1 11:00:00 11:00:39 12:47:06 6387.0 29841 118 1 1 NA
2019-03-20 auto 11:00 205212114 2 NA NA NA NA NA NA 0 0 6
2019-03-20 auto 11:00 810210126 3 11:00:00 11:00:43 12:53:15 6752.0 29379 125 1 1 NA
2019-03-20 auto 23:00 810210061 11 23:00:00 23:00:42 00:31:57 5475.0 26042 209 1 1 NA
2019-03-21 auto 11:00 810210117 12 11:00:00 11:01:07 12:53:40 6753.0 30742 103 1 1 NA
2019-03-21 auto 23:00 810210138 4 23:00:00 23:00:42 00:46:09 6327.0 30544 106 1 1 NA
2019-03-22 auto 11:00 810210127 6 11:00:00 11:00:45 12:45:11 6266.0 29774 120 1 1 NA
2019-03-22 auto 23:00 810210153 7 23:00:00 23:00:44 00:43:09 6145.0 29309 128 1 1 NA
2019-03-23 auto 11:00 810210107 8 11:00:00 11:00:37 12:41:00 6023.0 25088 244 1 1 NA
2019-03-23 auto 23:00 810210105 9 23:00:00 23:00:40 00:31:55 5475.0 24092 285 1 1 NA
2019-03-24 auto 11:00 810210103 10 11:00:00 11:00:47 12:44:12 6205.0 28053 154 1 1 NA
2019-03-24 auto 23:00 205212114 11 NA NA NA NA NA NA 0 0 6
2019-03-24 auto 23:00 810210097 12 23:00:00 NA NA NA NA NA 0 0 27
