"data"	"fitxer"	"sessió"	"id_sond"	"realit"	"hora"	"dur.min."	"alti.m."	"press.hPa."	"rellanç"	"llanç.fall"	"activ"	"sond_voladores"	"errors"	"valv.fall"
"2019-03-29"	"19033100.log"	"23:00"	"809214479 "	1	"00:43:05"	"102.4"	"28831"	14.1	0	0	1	1	NA	NA
"2019-04--1"	"19040100.log"	"11:00"	" 809214478"	1	"12:57:21"	"116.6"	"30198"	11.6	0	0	1	1	NA	NA
"2019-04--1"	"19040100.log"	"23:00"	" 205212114"	0	NA	NA	NA	NA	NA	1	2	1	"IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED , IR2010 --> RESET SONDE 205212114. CAUSE=SONDE NOT RECEIVED"	"B11"
"2019-04--1"	"19040100.log"	"23:00"	" 810211135"	1	"00:46:13"	"105.4"	"30477"	11	1	1	2	1	NA	NA
"2019-04-0"	"19040200.log"	"11:00"	" 810210097"	1	"12:47:08"	"106.4"	"29989"	11.9	0	0	1	1	NA	NA
"2019-04-0"	"19040200.log"	"23:00"	"810211139 "	1	"00:20:49"	"80.10"	"21559"	43	0	0	1	1	NA	NA
"2019-04-1"	"19040300.log"	"11:00"	"810211141 "	1	"12:43:11"	"102.4"	"28032"	15.9	0	0	1	1	NA	NA
"2019-04-1"	"19040300.log"	"23:00"	"809214474 "	1	"00:51:15"	"110.5"	"29254"	13.2	0	0	1	1	NA	NA
"2019-04-2"	"19040400.log"	"11:00"	"810211097 "	1	"12:41:17"	"100.3"	"28240"	15.4	0	0	1	1	NA	NA
"2019-04-2"	"19040400.log"	"23:00"	"810211125 "	1	"00:15:47"	"75.03"	"21024"	46.6	0	0	1	1	NA	NA
"2019-04-3"	"19040500.log"	"11:00"	"809214490 "	1	"12:27:58"	"87.18"	"23994"	29.3	0	0	1	1	NA	NA
"2019-04-3"	"19040500.log"	"23:00"	"810211130 "	1	"23:54:23"	"53.73"	"16099"	100	0	0	1	1	NA	NA
"2019-04-4"	"19040600.log"	"11:00"	"810211133 "	1	"12:03:51"	"62.86"	"17464"	80.3	0	0	1	1	NA	NA
"2019-04-4"	"19040600.log"	"23:00"	"810211140 "	1	"00:08:43"	"67.93"	"18572"	68.2	0	0	1	1	NA	NA
