"Data"	"Sessio"	"Realitzat"	"Hora"	"Durada"	"Altitud"	"Pressio"	"Rellancaments"	"Fallida"	"Sondes"
2013-04-17	"mati"	"Si"	"12:37:04"	96	28787	14.5	0	"Correcte"	1
2013-04-17	"nit"	"Si"	"00:33:04"	92	29479	13	0	"Correcte"	1
2013-04-18	"mati"	"Si"	"11:40:24"	90	27011	18.8	0	"Correcte"	1
2013-04-18	"nit"	"Si"	"00:42:12"	101	28855	14.2	0	"Correcte"	1
2013-04-19	"mati"	"Si"	"12:38:05"	97	28591	14.7	0	"Correcte"	1
2013-04-19	"nit"	"Si"	"00:21:11"	80	21650	42.9	0	"Correcte"	1
2013-04-20	"mati"	"Si"	"12:33:00"	92	28934	13.8	0	"Correcte"	1
2013-04-20	"nit"	"Si"	"00:39:19"	98	29650	12.4	0	"Correcte"	1
2013-04-21	"mati"	"Si"	"12:34:05"	93	29087	13.5	0	"Correcte"	1
2013-04-21	"nit"	"Si"	"00:36:06"	95	27013	18.4	0	"Correcte"	1
2013-04-22	"mati"	"Si"	"12:41:21"	99	27969	15.8	1	"B12 "	2
2013-04-22	"nit"	"Si"	"00:35:23"	94	26424	19.9	0	"Correcte"	1
2013-04-23	"mati"	"Si"	"12:30:02"	89	28149	15.1	0	"Correcte"	1
2013-04-23	"nit"	"Si"	"00:32:01"	91	27660	16.5	0	"Correcte"	1
2013-04-24	"mati"	"Si"	"12:50:20"	109	28296	15.1	0	"Correcte"	1
2013-04-24	"nit"	"Si"	"00:21:11"	80	21802	42	0	"Correcte"	1
2013-04-25	"mati"	"Si"	"12:12:49"	71	22547	37.6	0	"Correcte"	1
2013-04-25	"nit"	"No"	NA	NA	NA	NA	1	"B2 B1"	2
2013-04-26	"mati"	"Si"	"12:25:27"	84	23923	30.3	0	"Correcte"	1
2013-04-26	"nit"	"Si"	"00:09:53"	68	20343	52.5	0	"Correcte"	1
2013-04-27	"mati"	"Si"	"12:23:02"	81	18321	72.3	0	"Correcte"	1
2013-04-27	"nit"	"Si"	"00:08:38"	67	18518	69.9	0	"Correcte"	1
2013-04-28	"mati"	"Si"	"12:09:06"	67	19545	59.6	0	"Correcte"	1
2013-04-28	"nit"	"Si"	"00:16:49"	76	20519	51.5	0	"Correcte"	1
2013-04-29	"mati"	"Si"	"12:50:04"	75	17789	79.5	1	"B6 "	2
2013-04-29	"nit"	"Si"	"00:12:48"	71	19238	63.1	0	"Correcte"	1
2013-04-30	"mati"	"Si"	"12:40:06"	99	29495	12.9	0	"Correcte"	1
2013-04-30	"nit"	"Si"	"00:39:11"	98	28615	14.7	0	"Correcte"	1
2013-05-01	"mati"	"Si"	"12:37:04"	96	28769	14.3	0	"Correcte"	1
2013-05-01	"nit"	"Si"	"00:38:20"	97	27894	16.3	0	"Correcte"	1
2013-05-02	"mati"	"Si"	"12:37:27"	96	27687	16.9	0	"Correcte"	1
2013-05-02	"nit"	"Si"	"00:24:54"	84	25553	23.4	0	"Correcte"	1
2013-05-03	"mati"	"Si"	"12:34:04"	93	25018	25.4	0	"Correcte"	1
