"Data"	"Hora"	"Error"
2016-09-13	"11:37:04"	"Balloon disappearance, ejection"
2016-09-14	"11:37:08"	"Temperature faillure 9544m 293.8hPa"
2016-09-16	"11:37:11"	"End before 150 hPa 5385m 522.9hPa"
2016-09-30	"10:57:40"	"Balloon disappearance, ejection"
2016-10-04	"11:31:08"	"Temperature faillure 7521m 400.5hPa"
2016-10-05	"11:32:05"	"Temperature faillure 7942m 373.0hPa"
2016-10-05	"10:52:23"	"Valve ejected, sonde switched"
2016-10-04	"11:31:08"	"Temperature faillure 7521m 400.5hPa"
2016-10-05	"11:32:05"	"Temperature faillure 7942m 373.0hPa"
2016-10-05	"10:52:23"	"Valve ejected, sonde switched"
2016-10-07	"11:15:56"	"End before 150 hPa 1347m 866.3hPa"
2016-10-07	"11:37:02"	"End before 150 hPa 898m 913.7hPa"
2016-10-23	"11:33:07"	"Temperature faillure 8207m 356.8hPa"
2016-11-02	"11:28:06"	"Temperature faillure 7067m 419.1hPa"
2016-11-04	"23:45:17"	"End before 150 hPa 12666m 177.6hPa"
2016-11-14	"22:50:36"	"SONDE NOT RECEIVED"
2016-11-24	"23:32:07"	"End before 150 hPa 4882m 544.5hPa"
2016-12-02	"10:52:27"	"Valve ejected, sonde switched"
2016-12-11	"23:48:19"	"Temperature faillure 13672m 151.2hPa"
2016-12-17	"22:52:20"	"Valve ejected, sonde switched"
2016-12-25	"10:56:23"	"No GPS"
2016-12-27	"22:50:34"	"SONDE NOT RECEIVED"
2016-12-28	"11:42:16"	"End before 150 hPa 9068m 313.6hPa"
2016-12-31	"22:50:38"	"SONDE NOT RECEIVED"
2017-01-15	"11:27:01"	"End before 150 hPa 8037m 346.8hPa"
2017-01-18	"23:37:08"	"Temperature faillure 10248m 244.6hPa"
2017-01-27	"23:10:50"	"End before 150 hPa 1455m 847.9hPa"
2017-01-27	"23:49:29"	"End before 150 hPa 2199m 772.9hPa"
2017-02-01	"23:42:14"	"Temperature faillure 10661m 239.1hPa"
2017-02-08	"11:26:54"	"End before 150 hPa 2792m 718.8hPa"
2017-02-08	"23:17:58"	"End before 150 hPa 2290m 768.5hPa"
2017-02-08	"23:40:23"	"End before 150 hPa 1239m 877.1hPa"
2017-02-08	"11:02:22"	"No start detection by IR2010"
2017-02-09	"11:02:22"	"No start detection by IR2010"
2017-02-09	"11:12:19"	"No start detection by IR2010"
2017-02-20	"11:43:15"	"End before 150 hPa 12976m 166.4hPa"
2017-03-03	"23:42:17"	"End before 150 hPa 5712m 484.9hPa"
2017-03-24	"23:25:05"	"End before 150 hPa 3302m 671.3hPa"
2017-03-24	"23:25:35"	"Humidity sensor KO"
2017-04-03	"23:44:16"	"Temperature faillure 11817m 198.4hPa"
2017-04-17	"23:45:18"	"Temperature faillure 12206m 191.2hPa"
2017-04-22	"23:42:13"	"Temperature faillure 10899m 235.8hPa"
2017-04-26	"23:42:19"	"Temperature faillure 11335m 214.3hPa"
2017-05-03	"23:11:49"	"End before 150 hPa 295m 1006.8hPa"
2017-05-15	"11:27:02"	"Temperature faillure 6821m 441.6hPa"
2017-05-17	"11:51:20"	"Temperature faillure 12901m 179.0hPa"
2017-05-28	"23:33:06"	"Temperature faillure 8757m 336.8hPa"
2017-06-09	"23:30:02"	"Temperature faillure 7103m 425.7hPa"
2017-06-14	"11:26:01"	"Temperature faillure 6258m 478.3hPa"
2017-06-16	"11:23:58"	"Temperature faillure 6073m 491.4hPa"
2017-06-16	"12:01:31"	"Temperature faillure 7591m 402.0hPa"
2017-06-20	"22:58:33"	"Balloon disappearance, ejection"
2017-07-04	"23:55:24"	"Temperature faillure 13725m 161.7hPa"
2017-07-06	"23:32:04"	"Temperature faillure 8079m 375.0hPa"
2017-07-13	"23:21:58"	"Temperature faillure 5373m 536.0hPa"
2017-07-19	"23:22:57"	"Temperature faillure 5742m 507.2hPa"
2017-07-22	"23:50:20"	"End before 150 hPa 13303m 170.6hPa"
2017-07-23	"11:18:53"	"Temperature faillure 4503m 598.2hPa"
2017-07-24	"11:12:50"	"Temperature faillure 3356m 683.3hPa"
2017-07-31	"11:24:59"	"Temperature faillure 6054m 489.9hPa"
2017-08-01	"23:43:14"	"Temperature faillure 11364m 233.8hPa"
2017-08-02	"10:56:23"	"No GPS"
2017-08-03	"11:32:06"	"Temperature faillure 8059m 379.0hPa"
2017-08-08	"11:19:57"	"Temperature faillure 4358m 603.6hPa"
2017-08-12	"11:24:58"	"Temperature faillure 6261m 476.7hPa"
2017-08-16	"11:17:54"	"Temperature faillure 4146m 626.3hPa"
2017-08-25	"10:56:23"	"No GPS"
2017-08-27	"10:56:24"	"No GPS"
2017-08-30	"10:53:20"	"No GPS"
2017-08-30	"23:02:42"	"End before 150 hPa 361m 974.4hPa"
2017-08-30	"23:26:04"	"End before 150 hPa 4132m 620.7hPa"
2017-09-02	"23:37:12"	"Temperature faillure 10035m 278.3hPa"
2017-09-06	"23:18:54"	"End before 150 hPa 4286m 609.7hPa"
2017-09-08	"10:53:16"	"No GPS"
2017-09-08	"23:34:07"	"Temperature faillure 8886m 328.0hPa"
2017-09-28	"10:57:37"	"Balloon disappearance, ejection"
2017-10-01	"22:50:24"	"Humidity sensor KO"
2017-10-03	"10:50:24"	"Humidity sensor KO"
2017-10-11	"22:57:59"	"Balloon disappearance, ejection"
2017-10-13	"23:05:43"	"End before 150 hPa 1368m 876.4hPa"
2017-10-16	"23:16:55"	"End before 150 hPa 1527m 858.1hPa"
2017-10-16	"23:17:16"	"Sonde unknown"
2017-10-16	"23:17:36"	"Sonde unknown"
2017-10-17	"23:54:23"	"End before 150 hPa 13356m 162.8hPa"
2017-10-17	"00:17:42"	"End before 150 hPa 2535m 753.6hPa"
2017-10-20	"23:39:10"	"End before 150 hPa 8587m 346.4hPa"
2017-10-23	"11:40:14"	"Temperature faillure 11012m 240.8hPa"
2017-10-26	"11:07:43"	"Temperature faillure 829m 933.7hPa"
2017-11-14	"11:02:21"	"No start detection by IR2010"
2017-11-15	"23:50:20"	"End before 150 hPa 12127m 191.9hPa"
2017-11-15	"00:54:28"	"End before 150 hPa 13097m 164.3hPa"
2017-11-16	"23:02:21"	"No start detection by IR2010"
2017-11-23	"23:10:57"	"End before 150 hPa 255m 990.0hPa"
2017-11-23	"23:02:20"	"No start detection by IR2010"
2017-11-26	"11:37:11"	"End before 150 hPa 5964m 480.8hPa"
2017-11-26	"11:37:11"	"End before 150 hPa 5964m 480.8hPa"
2017-12-03	"23:02:21"	"No start detection by IR2010"
2017-12-06	"22:50:24"	". CAUSE=Batteries too low 5.0V"
2017-12-28	"10:50:28"	"Sonde unknown"
2017-12-30	"11:45:20"	"End before 150 hPa 10608m 250.7hPa"
2018-01-03	"10:56:23"	"No GPS"
2018-01-24	"23:02:19"	"No start detection by IR2010"
2018-03-03	"11:05:34"	"Analysis aborted (< 2 points) 329m 989.4hPa"
2018-04-08	"22:50:34"	"SONDE NOT RECEIVED"
2018-04-11	"23:11:48"	"End before 300 hPa 262m 986.6hPa"
2018-05-15	"11:05:08"	"Analysis aborted (< 2 points) 321m 1005.6hPa"
2018-06-06	"11:20:55"	"Temperature faillure 3618m 653.6hPa"
2018-06-06	"11:44:50"	"Temperature faillure 1538m 847.7hPa"
2018-06-26	"11:05:45"	"End before 300 hPa 1358m 871.1hPa"
2018-07-02	"10:50:28"	"Humidity sensor KO"
